Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.63,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:08:59 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.38,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:01 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.32,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:03 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.53,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:05 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.42,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:07 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.36,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:09 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.4,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:11 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.46,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:13 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.48,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:15 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.45,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:17 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.42,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:19 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.36,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:21 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.38,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:23 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.35,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:25 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.54,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:27 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.43,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:29 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.67,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:31 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.53,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:33 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.46,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:36 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.4,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:38 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.61,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:40 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.36,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:42 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.54,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:44 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.48,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:46 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.29,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:48 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.41,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:50 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.44,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:52 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.27,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:54 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.62,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:56 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.54,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:09:58 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.38,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:00 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.63,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:02 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.39,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:04 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.53,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:06 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.4,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:08 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:10 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.56,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:12 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.44,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:14 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.67,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:16 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.24,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:19 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.58,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:21 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.32,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:23 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.27,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:25 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.26,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:27 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.37,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:29 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.48,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:31 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.39,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:33 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.35,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:35 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.36,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:37 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.43,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:39 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:41 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.49,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:43 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.5,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:45 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:47 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.43,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:49 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
